Nombre,Tipo de dato,COUNT,Missing (NaN),Valores especiales/faltante,UNIQUE,TOP,Valores posibles (muestra),MIN,MAX,AVG,MEDIAN
Fecha,object,300,0,{},300.0,2000-01-01,"['2000-01-01', '2000-02-01', '2000-03-01', '2000-04-01', '2000-05-01', '2000-06-01', '2000-07-01', '2000-08-01', '2000-09-01', '2000-10-01']",,,,
Gasolina regular,float64,300,0,{},,,"[np.float64(202645.2), np.float64(205530.96), np.float64(229499.56), np.float64(210680.4), np.float64(208164.34), np.float64(195088.74), np.float64(204556.77), np.float64(218388.51), np.float64(213906.96), np.float64(213606.65)]",160741.9,938086.57,397478.8944575397,288193.13
Gasolina superior,float64,300,0,{},,,"[np.float64(308156.82), np.float64(307766.31), np.float64(331910.29), np.float64(315648.08), np.float64(319667.97), np.float64(300347.7), np.float64(308305.93), np.float64(323011.86), np.float64(326455.72), np.float64(323843.63)]",300242.7816666665,786598.12,470248.6788488889,423319.54000000004
Diesel,float64,300,0,{},,,"[np.float64(634667.06), np.float64(642380.66), np.float64(699807.25), np.float64(586803.98), np.float64(656948.2), np.float64(570919.88), np.float64(576436.02), np.float64(593770.77), np.float64(590145.4), np.float64(641113.36)]",507662.65,1499266.1,882130.1539450095,811038.175
